lccn/sn92053934/1902-06-28,2,9,4,5
lccn/sn83016810/1922-07-29,2,9,2,7
lccn/sn83016810/1922-11-11,2,12,3,9
lccn/sn89064695/1903-04-16,2,13,8,5
lccn/sn83016810/1916-12-02,1,11,11,0
lccn/sn83016810/1916-12-16,1,0,0,0
lccn/sn83016810/1917-01-06,1,0,0,0
lccn/sn83016810/1917-04-14,1,0,0,0
lccn/sn83016810/1917-09-29,1,0,0,0
lccn/sn89067274/1922-06-08,1,4,11,-7
lccn/sn86063381/1912-05-25,1,4,5,-1
lccn/sn86063381/1912-05-27,1,0,2,-2
lccn/sn86063381/1912-05-28,2,3,0,3
lccn/sn86063381/1908-10-07,2,11,3,8
lccn/sn83016810/1920-02-21,2,11,7,4
lccn/sn83016810/1920-10-02,2,7,5,2
lccn/sn83016810/1920-10-16,1,7,7,0
lccn/sn86063381/1915-12-03,1,9,11,-2
lccn/sn89067274/1913-03-20,2,12,6,6
lccn/sn86063381/1914-04-30,2,11,3,8
lccn/sn86063381/1913-11-18,1,0,0,0
lccn/sn84020631/1893-09-09,2,22,15,7
lccn/sn85054468/1900-01-13,2,21,2,19
lccn/sn85054468/1900-01-14,2,16,4,12
lccn/sn85054468/1900-03-24,2,6,2,4
lccn/sn86069620/1922-09-21,1,4,5,-1
lccn/sn84031081/1922-08-31,1,3,3,0
lccn/sn84031081/1922-09-01,1,5,35,-30
lccn/sn84031081/1922-05-27,1,4,4,0
lccn/sn84031081/1922-06-01,2,14,2,12
lccn/sn84031081/1922-06-25,2,7,1,6
lccn/sn84031081/1922-09-03,1,6,10,-4
lccn/sn84020631/1889-08-30,1,0,0,0
lccn/sn84020631/1891-02-12,2,17,7,10
lccn/sn86069133/1912-02-24,2,12,3,9
lccn/sn86069395/1911-05-23,1,7,7,0
lccn/sn84031081/1921-12-08,2,7,2,5
lccn/sn84031081/1921-12-18,2,9,3,6
lccn/sn84031081/1922-02-25,2,15,12,3
lccn/sn84031081/1921-11-08,1,6,8,-2
lccn/sn84031081/1921-11-22,2,6,2,4
lccn/sn84031081/1922-03-14,1,2,3,-1
lccn/sn90059523/1902-02-16,2,11,6,5
lccn/sn86058226/1921-10-21,2,5,1,4
lccn/sn90061417/1896-04-10,2,12,5,7
lccn/sn90061417/1908-04-03,1,6,8,-2
lccn/sn90061417/1909-12-31,2,12,2,10
lccn/sn90061417/1910-09-30,2,8,4,4
lccn/sn88076144/1897-12-17,2,15,14,1
lccn/sn88076145/1898-10-21,2,10,2,8
lccn/sn87096017/1907-04-18,2,4,1,3
lccn/sn90061417/1910-12-30,2,3,1,2
lccn/sn87096017/1922-09-14,2,18,12,6
lccn/sn87096017/1919-04-03,1,12,15,-3
lccn/sn87096017/1919-06-05,1,5,9,-4
lccn/sn90061417/1902-08-08,2,9,4,5
lccn/sn90061417/1902-10-17,2,15,14,1
lccn/sn90061417/1906-02-09,2,9,3,6
lccn/sn90061417/1906-09-14,1,3,5,-2
lccn/sn90061417/1904-09-02,2,23,7,16
lccn/sn88064094/1910-09-07,2,21,11,10
lccn/sn83016943/1916-01-21,2,10,6,4
lccn/sn85052116/1901-10-11,2,4,2,2
lccn/sn85052116/1901-11-21,2,5,4,1
lccn/sn85052116/1901-09-07,1,3,9,-6
lccn/sn85052116/1901-10-01,2,9,8,1
lccn/sn86069180/1907-10-12,2,9,1,8
lccn/sn86069180/1900-06-30,2,15,7,8
lccn/sn85058397/1910-09-09,2,14,8,6
lccn/sn84025891/1887-08-20,2,12,2,10
lccn/sn84026355/1897-07-26,2,15,12,3
lccn/sn84026355/1897-08-02,1,3,3,0
lccn/sn84025891/1888-01-14,2,13,7,6
lccn/sn84026355/1900-03-06,2,18,2,16
lccn/sn84026355/1899-10-10,2,9,1,8
lccn/sn84026355/1899-12-27,1,1,5,-4
lccn/sn85058397/1910-10-28,2,26,11,15
lccn/sn85058397/1910-12-12,2,7,5,2
lccn/sn85058397/1910-11-19,2,15,14,1
lccn/sn86074011/1906-05-04,1,6,7,-1
lccn/sn86074011/1919-11-28,1,5,5,0
lccn/sn86074011/1921-12-02,2,11,10,1
lccn/sn90061371/1907-05-08,1,0,1,-1
lccn/sn90061371/1912-02-21,2,15,6,9
lccn/sn90061371/1912-04-10,1,0,0,0
lccn/sn90061371/1912-09-04,1,4,7,-3
lccn/sn90061371/1913-02-26,1,0,0,0
lccn/sn90061371/1913-10-01,2,9,3,6
lccn/sn90061371/1914-05-13,1,2,5,-3
lccn/sn90061371/1910-10-05,1,0,0,0
lccn/sn90061371/1902-09-10,1,12,19,-7
lccn/sn84036220/1915-10-07,1,5,5,0
lccn/sn84036220/1915-04-08,2,7,1,6
lccn/sn83045085/1919-07-26,2,9,7,2
lccn/sn84036276/1893-05-06,2,6,4,2
lccn/sn84036276/1892-12-24,2,4,1,3
lccn/sn84036276/1900-06-22,1,2,9,-7
lccn/sn84036276/1900-07-27,1,0,0,0
lccn/sn84036276/1901-07-26,1,5,8,-3
lccn/sn87065462/1910-01-06,2,9,8,1
lccn/sn84036220/1912-09-17,2,7,6,1
lccn/sn84036220/1913-01-21,1,5,6,-1
lccn/sn83030431/1918-03-14,2,9,4,5
lccn/sn85058130/1885-09-01,1,8,9,-1
lccn/sn85058130/1885-09-03,1,5,5,0
lccn/sn83045433/1921-04-30,2,6,4,2
lccn/sn83045433/1920-09-14,1,12,17,-5
lccn/sn83045433/1920-12-06,2,8,3,5
lccn/sn83045433/1921-09-12,1,6,7,-1
lccn/sn84026749/1915-07-07,1,3,4,-1
lccn/sn82014635/1901-09-05,2,11,8,3
lccn/sn82014296/1868-03-03,1,4,4,0
lccn/sn89064515/1915-05-21,1,3,6,-3
lccn/sn92053933/1922-03-25,2,21,8,13
lccn/sn90059028/1880-10-14,2,15,3,12
lccn/sn97070614/1901-02-22,2,10,4,6
lccn/sn97070614/1901-06-28,1,9,10,-1
lccn/sn97070614/1901-10-25,2,8,5,3
lccn/sn97070614/1902-06-13,1,6,11,-5
lccn/sn97070614/1902-11-21,1,10,10,0
lccn/sn97070614/1902-11-28,1,3,3,0
lccn/sn82014635/1904-04-06,2,12,9,3
lccn/sn82014635/1903-04-29,2,28,11,17
lccn/sn82014635/1903-06-20,2,9,8,1
lccn/sn82014635/1903-08-22,2,14,3,11
lccn/sn82014635/1903-09-12,2,15,11,4
lccn/sn85042461/1897-11-25,1,2,14,-12
lccn/sn92053933/1922-07-07,1,8,8,0
lccn/sn89064515/1918-06-21,1,2,13,-11
lccn/sn89064515/1919-12-05,1,0,3,-3
lccn/sn82014635/1902-09-12,2,15,4,11
lccn/sn85042461/1895-07-12,2,14,2,12
lccn/sn92053933/1922-05-30,2,13,3,10
lccn/sn92053933/1922-06-05,1,8,8,0
lccn/sn92053933/1922-10-04,2,7,1,6
lccn/sn90059028/1880-10-07,2,28,1,27
lccn/sn89064515/1917-08-24,2,8,6,2
lccn/sn89064515/1916-09-01,1,4,9,-5
lccn/sn82014296/1867-09-03,2,12,4,8
lccn/sn85042461/1897-12-19,2,17,15,2
lccn/sn85042461/1897-12-19,2,10,5,5
lccn/sn86071985/1901-02-16,2,11,1,10
lccn/sn91090200/1883-12-22,2,13,10,3
lccn/sn91068748/1921-06-24,2,17,15,2
lccn/sn99063952/1893-06-23,2,11,4,7
lccn/sn99063954/1893-09-18,2,11,9,2
lccn/sn99063952/1892-11-30,2,9,4,5
