Word, Count
"great",3
"promising",1
"brighter",1
"succeeds",1
"continuity",1
"positive",1
"benefit",1
_____,_____
"tragedy",2
"weaknesses",1
"conceded",1
"clogs",1
"break",1
"deplorable",1
"injury",1
"retarded",1
"difficult",1
"evils",1
"worries",1
"strain",1
"disadvantages",1
"problem",1
