Year, Count
,500
1860,71
1854,42
1858,59
1859,65
1857,68
1855,56
1856,34
1853,46
ge 6,2
1852,14
1851,3
eman,1
ge 2,3
1850,10
e 77,1
1844,3
1849,4
1836,2
1847,5
ge 4,1
XTRA,1
1842,1
1848,1
1839,3
1843,1
1838,1
1840,2
