Year, Count
,1702
1860,233
1854,107
1858,190
1859,241
1857,170
1855,144
1856,123
1853,96
ge 6,4
1852,47
1851,12
eman,1
ge 2,6
1850,44
e 77,1
1844,8
1849,34
1836,4
1847,11
ge 4,3
XTRA,1
1842,21
1848,9
1839,15
1843,4
1838,2
1840,2
 144,1
1841,36
xtra,1
1845,22
1846,35
ning,6
e 98,1
1837,2
ge 8,1
tra.,1
ge 3,6
e 88,1
ge 7,4
ge 1,2
TION,44
ge 5,2
 795,1
 119,1
e 52,1
TRA.,1
